"<HEADER software/>"
EwEVersion,"6.7.0.19540 (compiled 3/7/1948)"
Date,"2/25/2026 2:32:06 PM"
"<HEADER ecopath/>"
ModelName,"Anchovy Bay"
ModelSource,"Y:\Projects\EwE\Databases\Natalia\Discards Bug\Black Sea_2025_testing BAN\Output\Mammals\Anchovy Bay Flat.eweaccdb"
"<HEADER ecosim/>"
EcosimScenario,"New Ecosim scenario"
TimeSeries,-
StartYear,2000
"<HEADER end/>"

Rows = MSE Run, Columns = Time
1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133, 134, 135, 136, 137, 138, 139, 140, 141, 142, 143, 144, 145, 146, 147, 148, 149, 150, 151, 152, 153, 154, 155, 156, 157, 158, 159, 160, 161, 162, 163, 164, 165, 166, 167, 168, 169, 170, 171, 172, 173, 174, 175, 176, 177, 178, 179, 180, 181, 182, 183, 184, 185, 186, 187, 188, 189, 190, 191, 192, 193, 194, 195, 196, 197, 198, 199, 200, 201, 202, 203, 204, 205, 206, 207, 208, 209, 210, 211, 212, 213, 214, 215, 216, 217, 218, 219, 220, 221, 222, 223, 224, 225, 226, 227, 228, 229, 230, 231, 232, 233, 234, 235, 236, 237, 238, 239, 240, 241, 242, 243, 244, 245, 246, 247, 248, 249, 250, 251, 252, 253, 254, 255, 256, 257, 258, 259, 260, 261, 262, 263, 264, 265, 266, 267, 268, 269, 270, 271, 272, 273, 274, 275, 276, 277, 278, 279, 280, 281, 282, 283, 284, 285, 286, 287, 288, 289, 290, 291, 292, 293, 294, 295, 296, 297, 298, 299, 300, 301, 302, 303, 304, 305, 306, 307, 308, 309, 310, 311, 312, 313, 314, 315, 316, 317, 318, 319, 320, 321, 322, 323, 324, 325, 326, 327, 328, 329, 330, 331, 332, 333, 334, 335, 336, 337, 338, 339, 340, 341, 342, 343, 344, 345, 346, 347, 348, 349, 350, 351, 352, 353, 354, 355, 356, 357, 358, 359, 360, 361, 362, 363, 364, 365, 366, 367, 368, 369, 370, 371, 372, 373, 374, 375, 376, 377, 378, 379, 380, 381, 382, 383, 384, 385, 386, 387, 388, 389, 390, 391, 392, 393, 394, 395, 396, 397, 398, 399, 400, 401, 402, 403, 404, 405, 406, 407, 408, 409, 410, 411, 412, 413, 414, 415, 416, 417, 418, 419, 420, 421, 422, 423, 424, 425, 426, 427, 428, 429, 430, 431, 432, 433, 434, 435, 436, 437, 438, 439, 440, 441, 442, 443, 444, 445, 446, 447, 448, 449, 450, 451, 452, 453, 454, 455, 456, 457, 458, 459, 460, 461, 462, 463, 464, 465, 466, 467, 468, 469, 470, 471, 472, 473, 474, 475, 476, 477, 478, 479, 480, 481, 482, 483, 484, 485, 486, 487, 488, 489, 490, 491, 492
0.5000054, 0.5000067, 0.500008, 0.5000111, 0.5000167, 0.5000249, 0.5000353, 0.5000477, 0.5000616, 0.5000767, 0.5000926, 0.5001091, 0.5001263, 0.500144, 0.5001623, 0.5001811, 0.5002005, 0.5002203, 0.5002407, 0.5002617, 0.5002831, 0.5003052, 0.5003278, 0.5003508, 0.5003745, 0.5003986, 0.5004234, 0.5004486, 0.5004745, 0.5005009, 0.500528, 0.5005556, 0.5005838, 0.5006126, 0.5006421, 0.5006721, 0.5007027, 0.5007339, 0.5007656, 0.5007977, 0.5008305, 0.5008636, 0.5008972, 0.5009312, 0.5009655, 0.5010002, 0.5010352, 0.5010704, 0.5011059, 0.5011417, 0.5011775, 0.5012136, 0.5012498, 0.501286, 0.5013224, 0.5013587, 0.5013952, 0.5014316, 0.5014681, 0.5015044, 0.5015407, 0.501577, 0.5016131, 0.5016493, 0.5016853, 0.5017213, 0.5017571, 0.5017929, 0.5018286, 0.5018641, 0.5018995, 0.5019348, 0.50197, 0.5020052, 0.5020401, 0.5020751, 0.5021099, 0.5021446, 0.5021791, 0.5022137, 0.5022481, 0.5022824, 0.5023167, 0.5023508, 0.5023848, 0.5024188, 0.5024527, 0.5024865, 0.5025202, 0.5025538, 0.5025873, 0.5026208, 0.5026542, 0.5026875, 0.5027207, 0.5027539, 0.502787, 0.50282, 0.502853, 0.5028859, 0.5029187, 0.5029514, 0.502984, 0.5030167, 0.5030492, 0.5030816, 0.503114, 0.5031463, 0.5031786, 0.5032107, 0.5032429, 0.5032749, 0.5033069, 0.5033387, 0.5033706, 0.5034023, 0.503434, 0.5034657, 0.5034972, 0.5035288, 0.5035602, 0.5035915, 0.5036228, 0.5036541, 0.5036852, 0.5037163, 0.5037474, 0.5037783, 0.5038093, 0.5038401, 0.5038709, 0.5039016, 0.5039322, 0.5039628, 0.5039933, 0.5040237, 0.5040541, 0.5040845, 0.5041147, 0.5041449, 0.5041751, 0.5042051, 0.5042351, 0.504265, 0.5042948, 0.5043246, 0.5043544, 0.504384, 0.5044136, 0.5044432, 0.5044726, 0.504502, 0.5045313, 0.5045606, 0.5045897, 0.5046189, 0.504648, 0.5046769, 0.5047058, 0.5047346, 0.5047634, 0.5047921, 0.5048208, 0.5048493, 0.5048778, 0.5049062, 0.5049346, 0.5049629, 0.5049911, 0.5050192, 0.5050473, 0.5050753, 0.5051032, 0.505131, 0.5051588, 0.5051865, 0.5052141, 0.5052417, 0.5052691, 0.5052965, 0.5053239, 0.5053511, 0.5053782, 0.5054053, 0.5054324, 0.5054594, 0.5054862, 0.5055131, 0.5055398, 0.5055664, 0.5055929, 0.5056195, 0.5056459, 0.5056722, 0.5056984, 0.5057247, 0.5057508, 0.5057768, 0.5058028, 0.5058286, 0.5058544, 0.5058801, 0.5059056, 0.5059311, 0.5059566, 0.505982, 0.5060073, 0.5060325, 0.5060576, 0.5060827, 0.5061076, 0.5061325, 0.5061573, 0.5061821, 0.5062067, 0.5062312, 0.5062557, 0.5062801, 0.5063044, 0.5063286, 0.5063528, 0.5063769, 0.5064008, 0.5064247, 0.5064485, 0.5064722, 0.5064958, 0.5065193, 0.5065428, 0.5065661, 0.5065894, 0.5066126, 0.5066357, 0.5066587, 0.5066817, 0.5067045, 0.5067273, 0.50675, 0.5067726, 0.5067951, 0.5068175, 0.5068399, 0.5068621, 0.5068843, 0.5069064, 0.5069283, 0.5069503, 0.5069721, 0.5069938, 0.5070155, 0.507037, 0.5070585, 0.5070799, 0.5071012, 0.5071225, 0.5071436, 0.5071647, 0.5071856, 0.5072064, 0.5072272, 0.5072479, 0.5072685, 0.5072891, 0.5073095, 0.5073299, 0.5073501, 0.5073704, 0.5073904, 0.5074105, 0.5074304, 0.5074503, 0.5074701, 0.5074897, 0.5075093, 0.5075288, 0.5075482, 0.5075675, 0.5075867, 0.5076058, 0.5076249, 0.5076439, 0.5076628, 0.5076816, 0.5077003, 0.507719, 0.5077375, 0.507756, 0.5077744, 0.5077927, 0.507811, 0.5078291, 0.5078471, 0.5078651, 0.507883, 0.5079008, 0.5079185, 0.5079362, 0.5079537, 0.5079712, 0.5079886, 0.5080059, 0.5080231, 0.5080402, 0.5080572, 0.5080742, 0.508091, 0.5081078, 0.5081245, 0.5081411, 0.5081577, 0.5081741, 0.5081905, 0.5082068, 0.508223, 0.5082392, 0.5082552, 0.5082712, 0.5082871, 0.5083029, 0.5083187, 0.5083343, 0.5083499, 0.5083653, 0.5083807, 0.508396, 0.5084113, 0.5084264, 0.5084415, 0.5084565, 0.5084715, 0.5084863, 0.5085011, 0.5085158, 0.5085304, 0.508545, 0.5085595, 0.5085739, 0.5085882, 0.5086024, 0.5086166, 0.5086307, 0.5086447, 0.5086586, 0.5086725, 0.5086863, 0.5087, 0.5087137, 0.5087272, 0.5087407, 0.5087541, 0.5087674, 0.5087807, 0.5087938, 0.5088069, 0.5088201, 0.508833, 0.5088459, 0.5088587, 0.5088714, 0.5088841, 0.5088967, 0.5089093, 0.5089217, 0.5089341, 0.5089465, 0.5089588, 0.508971, 0.5089831, 0.5089951, 0.5090071, 0.509019, 0.5090309, 0.5090427, 0.5090544, 0.5090661, 0.5090777, 0.5090892, 0.5091006, 0.5091119, 0.5091232, 0.5091344, 0.5091456, 0.5091567, 0.5091677, 0.5091787, 0.5091896, 0.5092005, 0.5092112, 0.5092219, 0.5092326, 0.5092432, 0.5092537, 0.5092642, 0.5092746, 0.509285, 0.5092952, 0.5093055, 0.5093156, 0.5093256, 0.5093356, 0.5093456, 0.5093555, 0.5093653, 0.5093752, 0.5093849, 0.5093945, 0.5094042, 0.5094137, 0.5094232, 0.5094326, 0.509442, 0.5094513, 0.5094605, 0.5094697, 0.5094788, 0.5094879, 0.5094969, 0.5095058, 0.5095147, 0.5095236, 0.5095324, 0.5095412, 0.5095499, 0.5095584, 0.5095671, 0.5095756, 0.5095841, 0.5095925, 0.5096009, 0.5096092, 0.5096174, 0.5096257, 0.5096339, 0.5096419, 0.50965, 0.509658, 0.5096659, 0.5096738, 0.5096816, 0.5096894, 0.5096971, 0.5097048, 0.5097123, 0.5097199, 0.5097275, 0.5097349, 0.5097424, 0.5097497, 0.509757, 0.5097644, 0.5097716, 0.5097789, 0.509786, 0.5097931, 0.5098002, 0.5098072, 0.5098141, 0.5098211, 0.5098279, 0.5098347, 0.5098414, 0.5098481, 0.5098548, 0.5098615, 0.509868, 0.5098746, 0.5098811, 0.5098876, 0.509894, 0.5099003, 0.5099066, 0.509913, 0.5099192, 0.5099254, 0.5099316, 0.5099378, 0.5099438, 0.5099499, 0.5099558, 0.5099618, 0.5099677, 0.5099736, 0.5099795, 0.5099853, 0.509991, 0.5099968, 0.5100024, 0.5100081, 0.5100137, 0.5100192, 0.5100248, 0.5100303
0.5000054, 0.5000067, 0.500008, 0.5000111, 0.5000167, 0.5000249, 0.5000353, 0.5000477, 0.5000616, 0.5000767, 0.5000926, 0.5001091, 0.5001263, 0.500144, 0.5001623, 0.5001811, 0.5002005, 0.5002203, 0.5002407, 0.5002617, 0.5002831, 0.5003052, 0.5003278, 0.5003508, 0.5003745, 0.5003986, 0.5004234, 0.5004486, 0.5004745, 0.5005009, 0.500528, 0.5005556, 0.5005838, 0.5006126, 0.5006421, 0.5006721, 0.5007027, 0.5007339, 0.5007656, 0.5007977, 0.5008305, 0.5008636, 0.5008972, 0.5009312, 0.5009655, 0.5010002, 0.5010352, 0.5010704, 0.5011059, 0.5011417, 0.5011775, 0.5012136, 0.5012498, 0.501286, 0.5013224, 0.5013587, 0.5013952, 0.5014316, 0.5014681, 0.5015044, 0.5015407, 0.501577, 0.5016131, 0.5016493, 0.5016853, 0.5017213, 0.5017571, 0.5017929, 0.5018286, 0.5018641, 0.5018995, 0.5019348, 0.50197, 0.5020052, 0.5020401, 0.5020751, 0.5021099, 0.5021446, 0.5021791, 0.5022137, 0.5022481, 0.5022824, 0.5023167, 0.5023508, 0.5023848, 0.5024188, 0.5024527, 0.5024865, 0.5025202, 0.5025538, 0.5025873, 0.5026208, 0.5026542, 0.5026875, 0.5027207, 0.5027539, 0.502787, 0.50282, 0.502853, 0.5028859, 0.5029187, 0.5029514, 0.502984, 0.5030167, 0.5030492, 0.5030816, 0.503114, 0.5031463, 0.5031786, 0.5032107, 0.5032429, 0.5032749, 0.5033069, 0.5033387, 0.5033706, 0.5034023, 0.503434, 0.5034657, 0.5034972, 0.5035288, 0.5035602, 0.5035915, 0.5036228, 0.5036541, 0.5036852, 0.5037163, 0.5037474, 0.5037783, 0.5038093, 0.5038401, 0.5038709, 0.5039016, 0.5039322, 0.5039628, 0.5039933, 0.5040237, 0.5040541, 0.5040845, 0.5041147, 0.5041449, 0.5041751, 0.5042051, 0.5042351, 0.504265, 0.5042948, 0.5043246, 0.5043544, 0.504384, 0.5044136, 0.5044432, 0.5044726, 0.504502, 0.5045313, 0.5045606, 0.5045897, 0.5046189, 0.504648, 0.5046769, 0.5047058, 0.5047346, 0.5047634, 0.5047921, 0.5048208, 0.5048493, 0.5048778, 0.5049062, 0.5049346, 0.5049629, 0.5049911, 0.5050192, 0.5050473, 0.5050753, 0.5051032, 0.505131, 0.5051588, 0.5051865, 0.5052141, 0.5052417, 0.5052691, 0.5052965, 0.5053239, 0.5053511, 0.5053782, 0.5054053, 0.5054324, 0.5054594, 0.5054862, 0.5055131, 0.5055398, 0.5055664, 0.5055929, 0.5056195, 0.5056459, 0.5056722, 0.5056984, 0.5057247, 0.5057508, 0.5057768, 0.5058028, 0.5058286, 0.5058544, 0.5058801, 0.5059056, 0.5059311, 0.5059566, 0.505982, 0.5060073, 0.5060325, 0.5060576, 0.5060827, 0.5061076, 0.5061325, 0.5061573, 0.5061821, 0.5062067, 0.5062312, 0.5062557, 0.5062801, 0.5063044, 0.5063286, 0.5063528, 0.5063769, 0.5064008, 0.5064247, 0.5064485, 0.5064722, 0.5064958, 0.5065193, 0.5065428, 0.5065661, 0.5065894, 0.5066126, 0.5066357, 0.5066587, 0.5066817, 0.5067045, 0.5067273, 0.50675, 0.5067726, 0.5067951, 0.5068175, 0.5068399, 0.5068621, 0.5068843, 0.5069064, 0.5069283, 0.5069503, 0.5069721, 0.5069938, 0.5070155, 0.507037, 0.5070585, 0.5070799, 0.5071012, 0.5071225, 0.5071436, 0.5071647, 0.5071856, 0.5072064, 0.5072272, 0.5072479, 0.5072685, 0.5072891, 0.5073095, 0.5073299, 0.5073501, 0.5073704, 0.5073904, 0.5074105, 0.5074304, 0.5074503, 0.5074701, 0.5074897, 0.5075093, 0.5075288, 0.5075482, 0.5075675, 0.5075867, 0.5076058, 0.5076249, 0.5076439, 0.5076628, 0.5076816, 0.5077003, 0.507719, 0.5077375, 0.507756, 0.5077744, 0.5077927, 0.507811, 0.5078291, 0.5078471, 0.5078651, 0.507883, 0.5079008, 0.5079185, 0.5079362, 0.5079537, 0.5079712, 0.5079886, 0.5080059, 0.5080231, 0.5080402, 0.5080572, 0.5080742, 0.508091, 0.5081078, 0.5081245, 0.5081411, 0.5081577, 0.5081741, 0.5081905, 0.5082068, 0.508223, 0.5082392, 0.5082552, 0.5082712, 0.5082871, 0.5083029, 0.5083187, 0.5083343, 0.5083499, 0.5083653, 0.5083807, 0.508396, 0.5084113, 0.5084264, 0.5084415, 0.5084565, 0.5084715, 0.5084863, 0.5085011, 0.5085158, 0.5085304, 0.508545, 0.5085595, 0.5085739, 0.5085882, 0.5086024, 0.5086166, 0.5086307, 0.5086447, 0.5086586, 0.5086725, 0.5086863, 0.5087, 0.5087137, 0.5087272, 0.5087407, 0.5087541, 0.5087674, 0.5087807, 0.5087938, 0.5088069, 0.5088201, 0.508833, 0.5088459, 0.5088587, 0.5088714, 0.5088841, 0.5088967, 0.5089093, 0.5089217, 0.5089341, 0.5089465, 0.5089588, 0.508971, 0.5089831, 0.5089951, 0.5090071, 0.509019, 0.5090309, 0.5090427, 0.5090544, 0.5090661, 0.5090777, 0.5090892, 0.5091006, 0.5091119, 0.5091232, 0.5091344, 0.5091456, 0.5091567, 0.5091677, 0.5091787, 0.5091896, 0.5092005, 0.5092112, 0.5092219, 0.5092326, 0.5092432, 0.5092537, 0.5092642, 0.5092746, 0.509285, 0.5092952, 0.5093055, 0.5093156, 0.5093256, 0.5093356, 0.5093456, 0.5093555, 0.5093653, 0.5093752, 0.5093849, 0.5093945, 0.5094042, 0.5094137, 0.5094232, 0.5094326, 0.509442, 0.5094513, 0.5094605, 0.5094697, 0.5094788, 0.5094879, 0.5094969, 0.5095058, 0.5095147, 0.5095236, 0.5095324, 0.5095412, 0.5095499, 0.5095584, 0.5095671, 0.5095756, 0.5095841, 0.5095925, 0.5096009, 0.5096092, 0.5096174, 0.5096257, 0.5096339, 0.5096419, 0.50965, 0.509658, 0.5096659, 0.5096738, 0.5096816, 0.5096894, 0.5096971, 0.5097048, 0.5097123, 0.5097199, 0.5097275, 0.5097349, 0.5097424, 0.5097497, 0.509757, 0.5097644, 0.5097716, 0.5097789, 0.509786, 0.5097931, 0.5098002, 0.5098072, 0.5098141, 0.5098211, 0.5098279, 0.5098347, 0.5098414, 0.5098481, 0.5098548, 0.5098615, 0.509868, 0.5098746, 0.5098811, 0.5098876, 0.509894, 0.5099003, 0.5099066, 0.509913, 0.5099192, 0.5099254, 0.5099316, 0.5099378, 0.5099438, 0.5099499, 0.5099558, 0.5099618, 0.5099677, 0.5099736, 0.5099795, 0.5099853, 0.509991, 0.5099968, 0.5100024, 0.5100081, 0.5100137, 0.5100192, 0.5100248, 0.5100303
0.5000054, 0.5000067, 0.500008, 0.5000111, 0.5000167, 0.5000249, 0.5000353, 0.5000477, 0.5000616, 0.5000767, 0.5000926, 0.5001091, 0.5001263, 0.500144, 0.5001623, 0.5001811, 0.5002005, 0.5002203, 0.5002407, 0.5002617, 0.5002831, 0.5003052, 0.5003278, 0.5003508, 0.5003745, 0.5003986, 0.5004234, 0.5004486, 0.5004745, 0.5005009, 0.500528, 0.5005556, 0.5005838, 0.5006126, 0.5006421, 0.5006721, 0.5007027, 0.5007339, 0.5007656, 0.5007977, 0.5008305, 0.5008636, 0.5008972, 0.5009312, 0.5009655, 0.5010002, 0.5010352, 0.5010704, 0.5011059, 0.5011417, 0.5011775, 0.5012136, 0.5012498, 0.501286, 0.5013224, 0.5013587, 0.5013952, 0.5014316, 0.5014681, 0.5015044, 0.5015407, 0.501577, 0.5016131, 0.5016493, 0.5016853, 0.5017213, 0.5017571, 0.5017929, 0.5018286, 0.5018641, 0.5018995, 0.5019348, 0.50197, 0.5020052, 0.5020401, 0.5020751, 0.5021099, 0.5021446, 0.5021791, 0.5022137, 0.5022481, 0.5022824, 0.5023167, 0.5023508, 0.5023848, 0.5024188, 0.5024527, 0.5024865, 0.5025202, 0.5025538, 0.5025873, 0.5026208, 0.5026542, 0.5026875, 0.5027207, 0.5027539, 0.502787, 0.50282, 0.502853, 0.5028859, 0.5029187, 0.5029514, 0.502984, 0.5030167, 0.5030492, 0.5030816, 0.503114, 0.5031463, 0.5031786, 0.5032107, 0.5032429, 0.5032749, 0.5033069, 0.5033387, 0.5033706, 0.5034023, 0.503434, 0.5034657, 0.5034972, 0.5035288, 0.5035602, 0.5035915, 0.5036228, 0.5036541, 0.5036852, 0.5037163, 0.5037474, 0.5037783, 0.5038093, 0.5038401, 0.5038709, 0.5039016, 0.5039322, 0.5039628, 0.5039933, 0.5040237, 0.5040541, 0.5040845, 0.5041147, 0.5041449, 0.5041751, 0.5042051, 0.5042351, 0.504265, 0.5042948, 0.5043246, 0.5043544, 0.504384, 0.5044136, 0.5044432, 0.5044726, 0.504502, 0.5045313, 0.5045606, 0.5045897, 0.5046189, 0.504648, 0.5046769, 0.5047058, 0.5047346, 0.5047634, 0.5047921, 0.5048208, 0.5048493, 0.5048778, 0.5049062, 0.5049346, 0.5049629, 0.5049911, 0.5050192, 0.5050473, 0.5050753, 0.5051032, 0.505131, 0.5051588, 0.5051865, 0.5052141, 0.5052417, 0.5052691, 0.5052965, 0.5053239, 0.5053511, 0.5053782, 0.5054053, 0.5054324, 0.5054594, 0.5054862, 0.5055131, 0.5055398, 0.5055664, 0.5055929, 0.5056195, 0.5056459, 0.5056722, 0.5056984, 0.5057247, 0.5057508, 0.5057768, 0.5058028, 0.5058286, 0.5058544, 0.5058801, 0.5059056, 0.5059311, 0.5059566, 0.505982, 0.5060073, 0.5060325, 0.5060576, 0.5060827, 0.5061076, 0.5061325, 0.5061573, 0.5061821, 0.5062067, 0.5062312, 0.5062557, 0.5062801, 0.5063044, 0.5063286, 0.5063528, 0.5063769, 0.5064008, 0.5064247, 0.5064485, 0.5064722, 0.5064958, 0.5065193, 0.5065428, 0.5065661, 0.5065894, 0.5066126, 0.5066357, 0.5066587, 0.5066817, 0.5067045, 0.5067273, 0.50675, 0.5067726, 0.5067951, 0.5068175, 0.5068399, 0.5068621, 0.5068843, 0.5069064, 0.5069283, 0.5069503, 0.5069721, 0.5069938, 0.5070155, 0.507037, 0.5070585, 0.5070799, 0.5071012, 0.5071225, 0.5071436, 0.5071647, 0.5071856, 0.5072064, 0.5072272, 0.5072479, 0.5072685, 0.5072891, 0.5073095, 0.5073299, 0.5073501, 0.5073704, 0.5073904, 0.5074105, 0.5074304, 0.5074503, 0.5074701, 0.5074897, 0.5075093, 0.5075288, 0.5075482, 0.5075675, 0.5075867, 0.5076058, 0.5076249, 0.5076439, 0.5076628, 0.5076816, 0.5077003, 0.507719, 0.5077375, 0.507756, 0.5077744, 0.5077927, 0.507811, 0.5078291, 0.5078471, 0.5078651, 0.507883, 0.5079008, 0.5079185, 0.5079362, 0.5079537, 0.5079712, 0.5079886, 0.5080059, 0.5080231, 0.5080402, 0.5080572, 0.5080742, 0.508091, 0.5081078, 0.5081245, 0.5081411, 0.5081577, 0.5081741, 0.5081905, 0.5082068, 0.508223, 0.5082392, 0.5082552, 0.5082712, 0.5082871, 0.5083029, 0.5083187, 0.5083343, 0.5083499, 0.5083653, 0.5083807, 0.508396, 0.5084113, 0.5084264, 0.5084415, 0.5084565, 0.5084715, 0.5084863, 0.5085011, 0.5085158, 0.5085304, 0.508545, 0.5085595, 0.5085739, 0.5085882, 0.5086024, 0.5086166, 0.5086307, 0.5086447, 0.5086586, 0.5086725, 0.5086863, 0.5087, 0.5087137, 0.5087272, 0.5087407, 0.5087541, 0.5087674, 0.5087807, 0.5087938, 0.5088069, 0.5088201, 0.508833, 0.5088459, 0.5088587, 0.5088714, 0.5088841, 0.5088967, 0.5089093, 0.5089217, 0.5089341, 0.5089465, 0.5089588, 0.508971, 0.5089831, 0.5089951, 0.5090071, 0.509019, 0.5090309, 0.5090427, 0.5090544, 0.5090661, 0.5090777, 0.5090892, 0.5091006, 0.5091119, 0.5091232, 0.5091344, 0.5091456, 0.5091567, 0.5091677, 0.5091787, 0.5091896, 0.5092005, 0.5092112, 0.5092219, 0.5092326, 0.5092432, 0.5092537, 0.5092642, 0.5092746, 0.509285, 0.5092952, 0.5093055, 0.5093156, 0.5093256, 0.5093356, 0.5093456, 0.5093555, 0.5093653, 0.5093752, 0.5093849, 0.5093945, 0.5094042, 0.5094137, 0.5094232, 0.5094326, 0.509442, 0.5094513, 0.5094605, 0.5094697, 0.5094788, 0.5094879, 0.5094969, 0.5095058, 0.5095147, 0.5095236, 0.5095324, 0.5095412, 0.5095499, 0.5095584, 0.5095671, 0.5095756, 0.5095841, 0.5095925, 0.5096009, 0.5096092, 0.5096174, 0.5096257, 0.5096339, 0.5096419, 0.50965, 0.509658, 0.5096659, 0.5096738, 0.5096816, 0.5096894, 0.5096971, 0.5097048, 0.5097123, 0.5097199, 0.5097275, 0.5097349, 0.5097424, 0.5097497, 0.509757, 0.5097644, 0.5097716, 0.5097789, 0.509786, 0.5097931, 0.5098002, 0.5098072, 0.5098141, 0.5098211, 0.5098279, 0.5098347, 0.5098414, 0.5098481, 0.5098548, 0.5098615, 0.509868, 0.5098746, 0.5098811, 0.5098876, 0.509894, 0.5099003, 0.5099066, 0.509913, 0.5099192, 0.5099254, 0.5099316, 0.5099378, 0.5099438, 0.5099499, 0.5099558, 0.5099618, 0.5099677, 0.5099736, 0.5099795, 0.5099853, 0.509991, 0.5099968, 0.5100024, 0.5100081, 0.5100137, 0.5100192, 0.5100248, 0.5100303
