Country, FleetNo,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006
1000,1,0.00246413238346577,0.00271028187125921,0.00268930406309664,0.0018080638255924,0.0017915484495461,0.00167403055820614,0.001746661728248,0.00184622930828482,0.00160677474923432,0.00147055089473724,0.00139386183582246,0.00144131854176521,0.00143318658228964,0.00139657396357507,0.00128918630070984,0.00139976746868342,0.00127294333651662,0.0011675514979288,0.00115069688763469,0.00104490190278739,0.00089726597070694,0.00104499654844403,0.00108251289930195,0.00103756494354457,0.000846328039187938,0.000603144289925694,0.000421499367803335,0.00582365645095706,0.00625888723880053,0.00756843946874142,0.00774007011204958,0.0092634717002511,0.0110014919191599,0.0118919899687171,0.0123416129499674,0.0138204712420702,0.0138418199494481,0.0123729966580868,0.011141799390316,0.0109505243599415,0.0105859106406569,0.008691081777215,0.0103602558374405,0.010292761027813,0.00970013812184334,0.00947365444153547,0.0102779036387801,0.0109029961749911,0.0103191444650292,0.00940950401127338,0.00850280560553074,0.00833469815552235,0.0079575814306736,0.00697566848248243,0.00517659028992057,0.00526329781860113,0.00510829407721758
1000,2,0.0456227101385593,0.0380177609622478,0.0383038967847824,0.0380696170032024,0.0495127514004707,0.0524530000984669,0.0581656917929649,0.0571666099131107,0.0360430739820004,0.0697599723935127,0.0519733279943466,0.0432940237224102,0.0436357781291008,0.0459802336990833,0.048173189163208,0.047495175153017,0.049456775188446,0.0475069954991341,0.0479752644896507,0.0428853556513786,0.0410849750041962,0.0400919504463673,0.0376517288386822,0.0445489175617695,0.0417708158493042,0.0408095680177212,0.0354368947446346,0.0375290513038635,0.0350087471306324,0.0330627746880054,0.0340785756707191,0.0365560166537762,0.0390048734843731,0.0369864888489246,0.0591290034353733,0.0518842749297619,0.0495544746518135,0.0466908998787403,0.0433218032121658,0.0395059399306774,0.0407615751028061,0.0397699438035488,0.0375184938311577,0.0364815816283226,0.0379552319645882,0.0365296341478825,0.0363988019526005,0.0361204110085964,0.0371349304914474,0.0422378480434418,0.0373935326933861,0.0369749590754509,0.0371193885803223,0.0476973876357079,0.0383764579892159,0.0369101874530315,0.0379524268209934
1000,3,0,3.89381433762992E-08,7.77503217364028E-08,1.21122411655961E-07,1.67083115343303E-07,2.06765562893452E-07,2.45400997300749E-07,3.00414399134752E-07,2.7536970037545E-07,3.242527952807E-07,3.62860305358481E-07,4.11255797416743E-07,4.53060010841E-07,4.98878819144011E-07,5.76312913835864E-07,6.89897831307462E-07,6.8878421188856E-07,7.75439730205107E-07,8.49538594138721E-07,9.68610947893467E-07,1.00501199540304E-06,1.1027898381144E-06,1.5053165043355E-06,1.56737576162413E-06,1.43089789617079E-06,1.60266915827378E-06,1.80952304162929E-06,2.09404652196099E-06,2.21670302380517E-06,2.80033395938517E-06,3.49367883245577E-06,4.39268706031726E-06,4.74959188068169E-06,7.20972002454801E-06,5.08201901538996E-06,2.43333033722593E-05,1.73999051185092E-05,2.15323125303257E-05,0.0135077377781272,0.0189174897968769,0.0106049766764045,0.00924108270555735,0.00601760391145945,0.00723607372492552,0.00705223856493831,0.00686788652092218,0.00709345610812306,0.00700246449559927,0.00627868436276913,0.00743028847500682,0.00718250731006265,0.00663610175251961,0.00775244226679206,0.00992553401738405,0.0107583673670888,0.00882767140865326,0.00864168908447027
1000,4,0.0991015881299973,0.0956069007515907,0.100819543004036,0.0938397943973541,0.106027036905289,0.0962781310081482,0.0907510444521904,0.0769016593694687,0.0772074311971664,0.0749297216534615,0.0733734369277954,0.0714873075485229,0.0695641040802002,0.0687018856406212,0.0730089768767357,0.0836559534072876,0.0873496830463409,0.0890447497367859,0.085260309278965,0.0772385448217392,0.0831481069326401,0.0849174484610558,0.0829846858978271,0.0819355025887489,0.07899110019207,0.0698083564639091,0.0680831968784332,0.0730342417955399,0.0739941820502281,0.0712810829281807,0.0797162428498268,0.0736303478479385,0.0705694779753685,0.07574113458395,0.073257178068161,0.0712891295552254,0.067667730152607,0.0672971531748772,0.065909780561924,0.0631622150540352,0.0613516829907894,0.0563465468585491,0.0559613667428494,0.056657712906599,0.0557304434478283,0.0594878979027271,0.052503939718008,0.0507942400872707,0.0501833371818066,0.0505148395895958,0.0466556884348392,0.0469951666891575,0.0467867776751518,0.0447442345321178,0.0409503430128098,0.0412106513977051,0.040925282984972
1000,5,0.00823183730244637,0.00107626512181014,0.000290572992525995,0.000196552791749127,0.00136554997880012,0.000796480511780828,0.00131597346626222,0.00099413632415235,0.00089826132170856,0.00104628875851631,0.00128623808268458,0.00139015517197549,0.00599375832825899,0.00321033596992493,0.0199349448084831,0.0209777690470219,0.0184061620384455,0.0237416010349989,0.0244693346321583,0.0165644958615303,0.0192205812782049,0.0154505232349038,0.011010505259037,0.00655281683430076,0.00893888343125582,0.00584127241745591,0.0034574749879539,0.00498521793633699,0.00392604246735573,0.00411980366334319,0.0046768682077527,0.00493693957105279,0.00541323702782393,0.00618333136662841,0.00803193543106318,0.00923760235309601,0.0129788815975189,0.00987279135733843,0.0101605486124754,0.0113276736810803,0.0099102184176445,0.00954739097505808,0.013850505463779,0.0131555544212461,0.0187583696097136,0.0205324832350016,0.019723067060113,0.0285479631274939,0.0278078354895115,0.0286628659814596,0.0214727614074945,0.022400438785553,0.0160561092197895,0.0126146664842963,0.0127696692943573,0.0184151660650969,0.0141995884478092
1000,6,0.0460663661360741,0.0448635183274746,0.0471117310225964,0.0483798198401928,0.0535240583121777,0.054774533957243,0.0549398437142372,0.0472571179270744,0.0442170277237892,0.0467998050153255,0.043220516294241,0.0433055683970451,0.0430724211037159,0.043995376676321,0.0440715253353119,0.0549831762909889,0.0529885739088058,0.0516954176127911,0.0511967875063419,0.0453822836279869,0.0526104122400284,0.0529195256531239,0.0534172393381596,0.0524786710739136,0.0508078970015049,0.0465095415711403,0.0458487533032894,0.0492233783006668,0.0424993745982647,0.0401044711470604,0.0369368530809879,0.0381121262907982,0.0370841436088085,0.0410353504121304,0.037711251527071,0.0380711853504181,0.0392150543630123,0.0381994247436523,0.0402846522629261,0.0372650288045406,0.0328678265213966,0.0332070663571358,0.0334333330392838,0.0313064679503441,0.0317738316953182,0.0306129138916731,0.0293817836791277,0.0288083758205175,0.029999827966094,0.034674160182476,0.0407963842153549,0.0395315662026405,0.0430149957537651,0.0403940975666046,0.0432779677212238,0.0434161126613617,0.0411511957645416
1000,7,0.00608220463618636,0.00619895849376917,0.00661376072093844,0.00533714657649398,0.00501542072743177,0.00584515929222107,0.00425875233486295,0.00425288593396544,0.00421129679307342,0.00489107146859169,0.00418947031721473,0.00479746982455254,0.00449041090905666,0.00356651889160275,0.00654830457642674,0.00843816064298153,0.00824021361768246,0.00796452537178993,0.00789736676961184,0.00881038699299097,0.00714534008875489,0.00546712800860405,0.00617285817861557,0.00449144560843706,0.00562253128737211,0.002788872923702,0.00481494003906846,0.00839523691684008,0.0146220317110419,0.00939770136028528,0.00988859124481678,0.00920258462429047,0.0109369456768036,0.0151583878323436,0.0167536735534668,0.0144860371947289,0.00488629098981619,0.00473627913743258,0.00522451149299741,0.00605521118268371,0.00929293781518936,0.0124479038640857,0.0136684766039252,0.0161495041102171,0.00837663281708956,0.00783532112836838,0.00888456031680107,0.00449302466586232,0.0078525310382247,0.016895180568099,0.0219446085393429,0.0149555066600442,0.0106530515477061,0.00860648974776268,0.00941623374819756,0.00704703200608492,0.00670288875699043
1000,8,0.0383862182497978,0.0530761368572712,0.0353628359735012,0.0395609959959984,0.029151875525713,0.0322327688336372,0.0336352996528149,0.0250583570450544,0.0181150790303946,0.027055911719799,0.0304226223379374,0.0316521376371384,0.0268315952271223,0.0210455674678087,0.0242214631289244,0.0312097948044539,0.0427193008363247,0.0491277761757374,0.0517489872872829,0.0474507547914982,0.04211400821805,0.0443853698670864,0.0419643521308899,0.0459467954933643,0.0511838421225548,0.0453626066446304,0.0508291088044643,0.0676015466451645,0.0686227232217789,0.0722791776061058,0.0787081196904182,0.0674483850598335,0.0713575929403305,0.0779741555452347,0.0792087838053703,0.0797993615269661,0.0805317535996437,0.0901936963200569,0.0885305479168892,0.091268002986908,0.0953048095107079,0.0981049463152885,0.0903105139732361,0.0912951827049255,0.0878718867897987,0.0918126627802849,0.0955551862716675,0.094031885266304,0.0911221727728844,0.0833848044276237,0.071103647351265,0.0759096145629883,0.0714637115597725,0.0756558179855347,0.0707981213927269,0.0730534121394157,0.0795265585184097
1000,9,0.00231386348605156,0.00264508090913296,0.00270977453328669,0.00273358263075352,0.00251465570181608,0.00373627757653594,0.00286807236261666,0.00370780634693801,0.00284006516449153,0.0027393891941756,0.00294649600982666,0.00313568883575499,0.00316204992122948,0.0031340045388788,0.00327971624210477,0.00336547894403338,0.00327919563278556,0.003449990414083,0.00285607809200883,0.00349471368826926,0.00288687949068844,0.00306107825599611,0.00355021073482931,0.00269533996470273,0.00347073189914227,0.0033738084603101,0.00256129703484476,0.00210720347240567,0.0030207191593945,0.00279700476676226,0.00203206250444055,0.00193236756604165,0.00191672844812274,0.00190957577433437,0.00169563724193722,0.00783161446452141,0.00441125500947237,0.00359402992762625,0.00381795642897487,0.00280990544706583,0.00203945394605398,0.00258657522499561,0.0035063847899437,0.00260248850099742,0.00283534615300596,0.00295992800965905,0.00305117946118116,0.00290313479490578,0.00232958607375622,0.0030099602881819,0.00294671929441392,0.0027278948109597,0.00293758558109403,0.00290696672163904,0.00301563274115324,0.00316057400777936,0.00317569309845567
1000,10,0.106718748807907,0.106727197766304,0.105314947664738,0.107074879109859,0.103756174445152,0.100580222904682,0.0936989635229111,0.0903042107820511,0.04331960901618,0.068965382874012,0.0759115591645241,0.07221669703722,0.0676622241735458,0.0636422112584114,0.0744543373584747,0.0726265907287598,0.0674089416861534,0.0653426870703697,0.0624271146953106,0.0668763443827629,0.0728646218776703,0.0682962536811829,0.0733759850263596,0.0755960270762444,0.0669709742069244,0.0619863867759705,0.0663590356707573,0.0733791440725327,0.0811731442809105,0.0869745537638664,0.0840433388948441,0.0803606137633324,0.0736649557948112,0.0659719705581665,0.060374803841114,0.0633693039417267,0.0572257563471794,0.0544061847031116,0.0535042993724346,0.0534655563533306,0.0513466075062752,0.0495394244790077,0.055985152721405,0.0468722991645336,0.0402348414063454,0.0405333191156387,0.0420674346387386,0.0417428947985172,0.040759488940239,0.0407879576086998,0.0378815568983555,0.0378573462367058,0.0372232683002949,0.0379076227545738,0.03468943759799,0.0347300358116627,0.0359027497470379
